Chromosome	Start	Stop	Target	Strand	Sattelite	Locus
chr1	126831988	126832429	ATrav-08-04-013-HS	0	-	hsat2_1_1(B)	q12
chr1	126836147	126836589	ATrav-08-04-013-HS	0	-	hsat2_1_1(B)	q12
chr1	126837651	126837921	ATrav-08-04-013-HS	0	-	hsat2_1_1(B)	q12
chr1	126841968	126842353	ATrav-08-04-013-HS	0	+	hsat2_1_2(B)	q12
chr1	126916024	126916446	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126920574	126921001	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126923895	126924273	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126928413	126928869	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126930779	126931235	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126933145	126933585	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126934489	126934945	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126935846	126936302	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126936885	126937339	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126937892	126938331	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126937950	126938397	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126939100	126939540	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126939133	126939575	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126940010	126940450	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126940432	126940888	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126941813	126942269	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126943158	126943614	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126944539	126944995	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126945887	126946366	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126947216	126947669	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126948535	126948991	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126949841	126950294	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126951245	126951701	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126952626	126953082	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126953976	126954432	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126955357	126955813	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126956738	126957194	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126958086	126958542	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126959467	126959923	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126960874	126961330	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126962222	126962678	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126963603	126964059	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126964984	126965440	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126966332	126966788	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126967713	126968169	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126969061	126969517	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126970442	126970898	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126971823	126972279	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126973204	126973657	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126974582	126975038	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126975814	126976249	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126977141	126977597	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126978522	126978978	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126979870	126980326	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126981251	126981707	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126982632	126983088	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126983980	126984436	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126985361	126985817	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126986711	126987167	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126988092	126988548	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126989473	126989929	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126990821	126991277	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126992143	126992599	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126993524	126993980	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126994905	126995361	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126996253	126996709	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126997634	126998090	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	126998984	126999440	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127000365	127000821	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127001746	127002202	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127003094	127003550	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127004416	127004872	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127005797	127006253	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127007178	127007634	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
chr1	127008526	127008982	ATrav-08-04-013-HS	0	+	hsat2_1_3(A1,B)	q12
